model,drug_1,drug_2,context,label,prediction
DeepDDI,Lapatinib,PIPERAZINE,Nanoparticle,0,0.35224053
DeepDDI,Lapatinib,Ertapenem,Nanoparticle,0,0.4251882
DeepDDI,Docetaxel,METHANESULFONIC_ACID,Nanoparticle,0,1.0
DeepDDI,Lapatinib,METHYLPARABEN_SODIUM,Nanoparticle,0,0.4121406
DeepDDI,Lapatinib,Sofosbuvir,Nanoparticle,0,0.45247373
DeepDDI,Docetaxel,DISODIUM_LAURETH_SULFOSUCCINATE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,SODIUM_CETOSTEARYL_SULFATE,Nanoparticle,0,0.41094968
DeepDDI,Lapatinib,Dolasetron,Nanoparticle,0,0.32740515
DeepDDI,Lapatinib,Sapropterin,Nanoparticle,0,0.38924092
DeepDDI,Lapatinib,Iopamidol,Nanoparticle,0,0.41952467
DeepDDI,Lapatinib,Flucytosine,Nanoparticle,0,0.4200867
DeepDDI,Lapatinib,TRIACETIN,Nanoparticle,0,0.41859648
DeepDDI,Docetaxel,PRAMOXINE_HYDROCHLORIDE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Cefazolin,Nanoparticle,0,0.9999697
DeepDDI,Lapatinib,MORPHINE_SULFATE,Nanoparticle,0,0.4238839
DeepDDI,Lapatinib,Delavirdine,Nanoparticle,0,0.4256126
DeepDDI,Docetaxel,Etoposide,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Telithromycin,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Ergonovine,Nanoparticle,0,0.99999964
DeepDDI,Lapatinib,Didanosine,Nanoparticle,0,0.43797275
DeepDDI,Docetaxel,Ulobetasol,Nanoparticle,0,1.0
DeepDDI,Lapatinib,AMINOBENZOATE_SODIUM,Nanoparticle,0,0.3369266
DeepDDI,Lapatinib,Rufinamide,Nanoparticle,0,0.40472037
DeepDDI,Docetaxel,Itraconazole,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Succimer,Nanoparticle,0,0.41865292
DeepDDI,Lapatinib,Acetylcarnitine,Nanoparticle,0,0.4161641
DeepDDI,Lapatinib,Thallous Chloride,Nanoparticle,0,0.30646735
DeepDDI,Docetaxel,LEVOMENTHOL,Nanoparticle,0,1.0
DeepDDI,Docetaxel,ETHYLPARABEN_SODIUM,Nanoparticle,0,1.0
DeepDDI,Docetaxel,CUPRIC_SULFATE,Nanoparticle,0,1.0
DeepDDI,Lapatinib,"N,N-DIMETHYLACETAMIDE",Nanoparticle,0,0.3987009
DeepDDI,Lapatinib,PROPYLENE_CARBONATE,Nanoparticle,0,0.3917463
DeepDDI,Lapatinib,Calcium_hydroxide,Nanoparticle,0,0.3095811
DeepDDI,Lapatinib,Levetiracetam,Nanoparticle,0,0.42184573
DeepDDI,Lapatinib,Sodium Tetradecyl Sulfate,Nanoparticle,0,0.3015081
DeepDDI,Lapatinib,Diphenoxylate,Nanoparticle,0,0.43109146
DeepDDI,Lapatinib,Prochlorperazine,Nanoparticle,0,0.43352485
DeepDDI,Docetaxel,POLYOXYETHYLENE_ALCOHOLS,Nanoparticle,0,0.999998
DeepDDI,Lapatinib,BENZYL CHLORIDE,Nanoparticle,0,0.38386238
DeepDDI,Lapatinib,METHYL_ACRYLATE_-_METHYL_METHACRYLATE,Nanoparticle,0,0.41214567
DeepDDI,Lapatinib,Cefazolin,Nanoparticle,0,0.4447292
DeepDDI,Lapatinib,Mazindol,Nanoparticle,0,0.3984331
DeepDDI,Lapatinib,Arbutamine,Nanoparticle,0,0.40697634
DeepDDI,Lapatinib,Azatadine,Nanoparticle,0,0.37425372
DeepDDI,Docetaxel,Aripiprazole,Nanoparticle,0,1.0
DeepDDI,Lapatinib,CETRIMONIUM CHLORIDE,Nanoparticle,0,0.4229423
DeepDDI,Docetaxel,Triclosan,Nanoparticle,0,1.0
DeepDDI,Docetaxel,URETHANE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,Epoprostenol,Nanoparticle,0,0.9999994
DeepDDI,Docetaxel,EDETATE_SODIUM,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Paritaprevir,Nanoparticle,0,0.41524276
DeepDDI,Lapatinib,Iron_linoleate_(packaging),Nanoparticle,0,0.35890144
DeepDDI,Docetaxel,Nafarelin,Nanoparticle,0,0.99999666
DeepDDI,Lapatinib,Trospium,Nanoparticle,0,0.40307525
DeepDDI,Docetaxel,Oxytetracycline,Nanoparticle,0,1.0
DeepDDI,Lapatinib,"1,2-DIOLEOYL-SN-GLYCERO-3-PHOSPHOCHOLINE",Nanoparticle,0,0.3668276
DeepDDI,Docetaxel,TETRAPROPYL_ORTHOSILICATE,Nanoparticle,0,1.0
DeepDDI,Docetaxel,"Ethyl_acrylate,_polymeric_(packaging)",Nanoparticle,0,1.0
DeepDDI,Docetaxel,Naloxone,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Paramethadione,Nanoparticle,0,0.4116799
DeepDDI,Docetaxel,Baclofen,Nanoparticle,0,1.0
DeepDDI,Docetaxel,L-Aspartic Acid,Nanoparticle,0,1.0
DeepDDI,Lapatinib,Telbivudine,Nanoparticle,0,0.40635613
DeepDDI,Lapatinib,Candoxatril,Nanoparticle,0,0.42701656
DeepDDI,Docetaxel,Oxymetazoline,Nanoparticle,0,1.0
DeepDDI,Docetaxel,ZINC_ACETATE,Nanoparticle,0,1.0
