drug_1,drug_2,context,label
Lapatinib,POLYBUTENE_(1400_MW),Nanoparticle,0
Lapatinib,Sorbic_acid,Nanoparticle,0
Lapatinib,Calcium_sorbate,Nanoparticle,0
Lapatinib,Potassium_sorbate,Nanoparticle,0
Lapatinib,Sodium_sorbate,Nanoparticle,0
Lapatinib,ANETHOLE,Nanoparticle,0
Lapatinib,PROPENYL_GUAETHOL,Nanoparticle,0
Lapatinib,PIPERAZINE,Nanoparticle,0
Lapatinib,PIPERAZINE_HEXAHYDRATE,Nanoparticle,0
Lapatinib,TYLOXAPOL,Nanoparticle,0
Lapatinib,POLOXAMER_407,Nanoparticle,0
Lapatinib,HIGH_DENSITY_POLYETHYLENE,Nanoparticle,0
Lapatinib,POLYISOBUTYLENE_MEDIUM_MOLECULAR_WEIGHT,Nanoparticle,0
Lapatinib,METHACRYLIC_ACID_-_METHYL_METHACRYLATE_COPOLYMER_(1:2),Nanoparticle,0
Lapatinib,POLY(METHYL_ACRYLATE-CO-METHYL_METHACRYLATE-CO-METHACRYLIC_ACID_7:3:1;_280000_MW),Nanoparticle,0
Lapatinib,METHACRYLIC_ACID_-_ETHYL_ACRYLATE_COPOLYMER_(1:1)_TYPE_A,Nanoparticle,0
Lapatinib,DIMETHYLAMINOETHYL_METHACRYLATE_-_BUTYL_METHACRYLATE_-_METHYL_METHACRYLATE_COPOLYMER,Nanoparticle,0
Lapatinib,AMMONIO_METHACRYLATE_COPOLYMER_TYPE_B,Nanoparticle,0
Lapatinib,METHYL_ACRYLATE_-_METHYL_METHACRYLATE,Nanoparticle,0
Lapatinib,ETHYL_ACRYLATE_AND_METHYL_METHACRYLATE_COPOLYMER_(2:1;_750000_MW),Nanoparticle,0
Lapatinib,POLYHYDROXYETHYL_METHACRYLATE,Nanoparticle,0
Lapatinib,POLACRILIN_POTASSIUM,Nanoparticle,0
Lapatinib,"LIMONENE,_(+/-)-",Nanoparticle,0
Lapatinib,"CARVONE,_(-)-",Nanoparticle,0
Lapatinib,ETHYLENE-PROPYLENE_COPOLYMER,Nanoparticle,0
Lapatinib,ETHYLENE-VINYL_ACETATE_COPOLYMERS,Nanoparticle,0
Lapatinib,Vitamin_D2_(ergocalciferol),Nanoparticle,0
Lapatinib,Vitamin_D3_(cholecalciferol),Nanoparticle,0
Lapatinib,POLYPROPYLENE,Nanoparticle,0
Lapatinib,ACRYLIC_ACID-ISOOCTYL_ACRYLATE_COPOLYMER,Nanoparticle,0
Lapatinib,"Methyl_acrylate,_monomeric_(packaging)",Nanoparticle,0
Lapatinib,"Ethyl_acrylate,_polymeric_(packaging)",Nanoparticle,0
Lapatinib,ISOOCTYL_ACRYLATE,Nanoparticle,0
Lapatinib,SODIUM_POLYACRYLATE_(2500000_MW),Nanoparticle,0
Lapatinib,POLYQUATERNIUM-7_(70/30_ACRYLAMIDE/DADMAC;_1600000_MW),Nanoparticle,0
Lapatinib,UNDECYLENIC_ACID,Nanoparticle,0
Lapatinib,POVIDONE/EICOSENE_COPOLYMER,Nanoparticle,0
Lapatinib,EUGENOL,Nanoparticle,0
Lapatinib,POLYVINYL_CHLORIDE,Nanoparticle,0
Lapatinib,"POVIDONE,_UNSPECIFIED",Nanoparticle,0
Lapatinib,COPOVIDONE,Nanoparticle,0
Lapatinib,"POLYVINYL_ALCOHOL,_UNSPECIFIED",Nanoparticle,0
Lapatinib,POLYVINYL_ACETATE_PHTHALATE,Nanoparticle,0
Lapatinib,BUTYL_ESTER_OF_METHYL_VINYL_ETHER/MALEIC_ANHYDRIDE_COPOLYMER_(125000_MW),Nanoparticle,0
Lapatinib,PVM/MA_COPOLYMER,Nanoparticle,0
Lapatinib,SODIUM_POLYSTYRENE_SULFONATE,Nanoparticle,0
Lapatinib,FRAGRANCE_UNGERER_N5195,Nanoparticle,0
Lapatinib,METHYLBORONIC_ACID,Nanoparticle,0
Lapatinib,ACETONITRILE,Nanoparticle,0
Lapatinib,.BETA.-IONONE,Nanoparticle,0
Lapatinib,Diacetyl,Nanoparticle,0
Lapatinib,DEHYDROACETIC_ACID,Nanoparticle,0
Lapatinib,Isopropyl_citrate,Nanoparticle,0
Lapatinib,LEVULINIC_ACID,Nanoparticle,0
Lapatinib,"N,N-DIMETHYLACETAMIDE",Nanoparticle,0
Lapatinib,SULFACETAMIDE_SODIUM,Nanoparticle,0
Lapatinib,ACETYLCYSTEINE,Nanoparticle,0
Lapatinib,"ACETYLTRYPTOPHAN,_DL-",Nanoparticle,0
Lapatinib,HYALURONATE_SODIUM,Nanoparticle,0
Lapatinib,DIATRIZOIC_ACID,Nanoparticle,0
Lapatinib,ACETAMINOPHEN,Nanoparticle,0
Lapatinib,Acetic_acid,Nanoparticle,0
Lapatinib,Sodium_diacetate,Nanoparticle,0
Lapatinib,HYPROMELLOSE_ACETATE_SUCCINATE_06081224_(3_MM2/S),Nanoparticle,0
Lapatinib,LYSINE_ACETATE,Nanoparticle,0
Lapatinib,CROSCARMELLOSE,Nanoparticle,0
Lapatinib,Sodium_Carboxymethyl_cellulose,Nanoparticle,0
