drug_1,drug_2,context,label
Sorafenib,caffeine,Nanoparticle,0
Sorafenib,succinic_acid,Nanoparticle,0
Sorafenib,octyl_gallate,Nanoparticle,0
Sorafenib,DL-malic_acid,Nanoparticle,0
Sorafenib,adipic_acid,Nanoparticle,0
Sorafenib,Triazabicyclodecene,Nanoparticle,0
Sorafenib,DBU,Nanoparticle,0
Sorafenib,L-asparagine,Nanoparticle,0
Sorafenib,theobromine,Nanoparticle,0
Sorafenib,"3,3'-thiodipropionic_acid",Nanoparticle,0
Sorafenib,theophylline,Nanoparticle,0
Sorafenib,borneol,Nanoparticle,0
Sorafenib,cinnamaldehyde,Nanoparticle,0
Sorafenib,aspartame,Nanoparticle,0
Sorafenib,squalene,Nanoparticle,0
Sorafenib,benzaldehyde,Nanoparticle,0
Sorafenib,sodium_deoxycholate,Nanoparticle,1
Sorafenib,cholic_acid,Nanoparticle,1
Sorafenib,glycocholic_acid,Nanoparticle,1
Sorafenib,sucrose_octaacetate,Nanoparticle,0
Sorafenib,trans_anethole,Nanoparticle,0
Sorafenib,indomethacin,Nanoparticle,1
Sorafenib,terpinyl_butyrate,Nanoparticle,0
Sorafenib,hydrocortisone,Nanoparticle,0
Sorafenib,candesartan_cilexetil,Nanoparticle,1
Sorafenib,neohesperidin_DC,Nanoparticle,0
Sorafenib,ursodiol,Nanoparticle,0
Sorafenib,diclofenac,Nanoparticle,0
Sorafenib,eucalyptol,Nanoparticle,0
Sorafenib,beta_carotene,Nanoparticle,0
Sorafenib,menthol,Nanoparticle,0
Sorafenib,alpha-terpineol,Nanoparticle,0
Sorafenib,fenchyl_alcohol,Nanoparticle,0
Sorafenib,biotin,Nanoparticle,0
Sorafenib,xylitol,Nanoparticle,0
Sorafenib,trans-cinnamic_acid,Nanoparticle,0
Sorafenib,thimerosal,Nanoparticle,0
Sorafenib,tyramine,Nanoparticle,0
Sorafenib,fumaric_acid,Nanoparticle,0
Sorafenib,congo_red,Nanoparticle,1
Sorafenib,vanillin,Nanoparticle,0
Sorafenib,saccharin,Nanoparticle,0
Sorafenib,allantoin,Nanoparticle,0
Sorafenib,vitamin_A_palmitate,Nanoparticle,0
Sorafenib,acetylcholine_chloride,Nanoparticle,0
Sorafenib,dibutyl_phthalate,Nanoparticle,0
Sorafenib,trometamol,Nanoparticle,0
Sorafenib,benzoyl_peroxide,Nanoparticle,0
Sorafenib,triethyl_citrate,Nanoparticle,0
Sorafenib,triacetin,Nanoparticle,0
Sorafenib,glycerol,Nanoparticle,1
