,drug_name,exc_name,drug_smile,exc_smile,pair_smile
0,Lapatinib,POLYBUTENE_(1400_MW),CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C/C=C/C.C=CCC,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C/C=C/C.C=CCC
1,Lapatinib,Sorbic_acid,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C/C=C/C=C/C(=O)O,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C/C=C/C=C/C(=O)O
2,Lapatinib,Calcium_sorbate,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C/C=C/C=C/C(=O)[O-].C/C=C/C=C/C(=O)[O-].[Ca+2],CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C/C=C/C=C/C(=O)[O-].C/C=C/C=C/C(=O)[O-].[Ca+2]
3,Lapatinib,Potassium_sorbate,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C/C=C/C=C/C(=O)[O-].[K+],CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C/C=C/C=C/C(=O)[O-].[K+]
4,Lapatinib,Sodium_sorbate,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C/C=C/C=C/C(=O)[O-].[Na+],CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C/C=C/C=C/C(=O)[O-].[Na+]
5,Lapatinib,ANETHOLE,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C/C=C/c1ccc(OC)cc1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C/C=C/c1ccc(OC)cc1
6,Lapatinib,PROPENYL_GUAETHOL,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C/C=C/c1ccc(OCC)c(O)c1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C/C=C/c1ccc(OCC)c(O)c1
7,Lapatinib,PIPERAZINE,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C1CNCCN1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C1CNCCN1
8,Lapatinib,PIPERAZINE_HEXAHYDRATE,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C1CNCCN1.O.O.O.O.O.O,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C1CNCCN1.O.O.O.O.O.O
9,Lapatinib,TYLOXAPOL,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C1CO1.C=O.CC(C)(C)CC(C)(C)c1ccc(O)cc1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.C1CO1.C=O.CC(C)(C)CC(C)(C)c1ccc(O)cc1
