,drug_name,excp_name,drug_smile,excp_smile,pair_smile,class
0,Sorafenib,caffeine,c1(Cl)c(C(F)(F)F)cc(cc1)NC(Nc1ccc(Oc2cc(ncc2)C(NC)=O)cc1)=O,c12c(ncn1C)n(c(=O)n(C)c2=O)C,c1(Cl)c(C(F)(F)F)cc(cc1)NC(Nc1ccc(Oc2cc(ncc2)C(NC)=O)cc1)=O.c12c(ncn1C)n(c(=O)n(C)c2=O)C,0
1,Sorafenib,succinic_acid,CNC(c1cc(ccn1)Oc1ccc(NC(Nc2cc(C(F)(F)F)c(cc2)Cl)=O)cc1)=O,O=C(CCC(=O)O)O,CNC(c1cc(ccn1)Oc1ccc(NC(Nc2cc(C(F)(F)F)c(cc2)Cl)=O)cc1)=O.O=C(CCC(=O)O)O,0
2,Sorafenib,octyl_gallate,FC(F)(F)c1c(Cl)ccc(NC(=O)Nc2ccc(cc2)Oc2cc(ncc2)C(=O)NC)c1,c1(cc(C(OCCCCCCCC)=O)cc(O)c1O)O,FC(F)(F)c1c(Cl)ccc(NC(=O)Nc2ccc(cc2)Oc2cc(ncc2)C(=O)NC)c1.c1(cc(C(OCCCCCCCC)=O)cc(O)c1O)O,0
3,Sorafenib,DL-malic_acid,c1c(Cl)c(C(F)(F)F)cc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)c1,OC(=O)C(O)CC(=O)O,c1c(Cl)c(C(F)(F)F)cc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)c1.OC(=O)C(O)CC(=O)O,0
4,Sorafenib,adipic_acid,FC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3cc(C(NC)=O)ncc3)cc2)ccc1Cl,C(=O)(O)CCCCC(O)=O,FC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3cc(C(NC)=O)ncc3)cc2)ccc1Cl.C(=O)(O)CCCCC(O)=O,0
5,Sorafenib,Triazabicyclodecene,c1(nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(C(F)(F)F)c1)Cl)C(NC)=O,N12CCCN=C1NCCC2,c1(nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(C(F)(F)F)c1)Cl)C(NC)=O.N12CCCN=C1NCCC2,0
6,Sorafenib,DBU,O=C(NC)c1cc(ccn1)Oc1ccc(NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)cc1,C1CCCN2CCCN=C2C1,O=C(NC)c1cc(ccn1)Oc1ccc(NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)cc1.C1CCCN2CCCN=C2C1,0
7,Sorafenib,L-asparagine,CNC(c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1cc(c(Cl)cc1)C(F)(F)F)=O,OC(=O)[C@H](CC(=O)N)N,CNC(c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1cc(c(Cl)cc1)C(F)(F)F)=O.OC(=O)[C@H](CC(=O)N)N,0
8,Sorafenib,theobromine,c1(Cl)c(cc(NC(=O)Nc2ccc(cc2)Oc2ccnc(c2)C(=O)NC)cc1)C(F)(F)F,O=c1n(c2c(c([nH]1)=O)n(C)cn2)C,c1(Cl)c(cc(NC(=O)Nc2ccc(cc2)Oc2ccnc(c2)C(=O)NC)cc1)C(F)(F)F.O=c1n(c2c(c([nH]1)=O)n(C)cn2)C,0
9,Sorafenib,"3,3'-thiodipropionic_acid",C(Nc1ccc(cc1)Oc1ccnc(C(=O)NC)c1)(Nc1cc(c(cc1)Cl)C(F)(F)F)=O,O=C(CCSCCC(O)=O)O,C(Nc1ccc(cc1)Oc1ccnc(C(=O)NC)c1)(Nc1cc(c(cc1)Cl)C(F)(F)F)=O.O=C(CCSCCC(O)=O)O,0
10,Sorafenib,theophylline,c1cc(ccc1NC(Nc1ccc(Cl)c(c1)C(F)(F)F)=O)Oc1cc(ncc1)C(NC)=O,n1(C)c(n(c2c(c1=O)[nH]cn2)C)=O,c1cc(ccc1NC(Nc1ccc(Cl)c(c1)C(F)(F)F)=O)Oc1cc(ncc1)C(NC)=O.n1(C)c(n(c2c(c1=O)[nH]cn2)C)=O,0
11,Sorafenib,borneol,C(c1c(Cl)ccc(c1)NC(=O)Nc1ccc(Oc2ccnc(C(=O)NC)c2)cc1)(F)(F)F,O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,C(c1c(Cl)ccc(c1)NC(=O)Nc1ccc(Oc2ccnc(C(=O)NC)c2)cc1)(F)(F)F.O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,0
12,Sorafenib,cinnamaldehyde,c1c(ccc(Cl)c1C(F)(F)F)NC(Nc1ccc(Oc2cc(C(NC)=O)ncc2)cc1)=O,c1ccccc1/C=C/C=O,c1c(ccc(Cl)c1C(F)(F)F)NC(Nc1ccc(Oc2cc(C(NC)=O)ncc2)cc1)=O.c1ccccc1/C=C/C=O,0
13,Sorafenib,aspartame,N(C(=O)Nc1ccc(c(C(F)(F)F)c1)Cl)c1ccc(cc1)Oc1ccnc(c1)C(=O)NC,[C@@H](NC([C@@H](N)CC(=O)O)=O)(C(=O)OC)Cc1ccccc1,N(C(=O)Nc1ccc(c(C(F)(F)F)c1)Cl)c1ccc(cc1)Oc1ccnc(c1)C(=O)NC.[C@@H](NC([C@@H](N)CC(=O)O)=O)(C(=O)OC)Cc1ccccc1,0
14,Sorafenib,squalene,O(c1cc(ncc1)C(=O)NC)c1ccc(NC(Nc2cc(c(cc2)Cl)C(F)(F)F)=O)cc1,C(\C)(CC/C=C(/CCC=C(C)C)C)=C\CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,O(c1cc(ncc1)C(=O)NC)c1ccc(NC(Nc2cc(c(cc2)Cl)C(F)(F)F)=O)cc1.C(\C)(CC/C=C(/CCC=C(C)C)C)=C\CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0
15,Sorafenib,benzaldehyde,N(c1cc(c(cc1)Cl)C(F)(F)F)C(=O)Nc1ccc(Oc2ccnc(c2)C(=O)NC)cc1,c1ccc(C=O)cc1,N(c1cc(c(cc1)Cl)C(F)(F)F)C(=O)Nc1ccc(Oc2ccnc(c2)C(=O)NC)cc1.c1ccc(C=O)cc1,0
16,Sorafenib,sodium_deoxycholate,c1c(ccnc1C(=O)NC)Oc1ccc(NC(Nc2ccc(c(c2)C(F)(F)F)Cl)=O)cc1,C[C@@]12[C@@H](CC[C@@H]2[C@H](C)CCC(=O)[O-])[C@H]2[C@H](C[C@@H]1O)[C@@]1([C@H](CC2)C[C@H](O)CC1)C,c1c(ccnc1C(=O)NC)Oc1ccc(NC(Nc2ccc(c(c2)C(F)(F)F)Cl)=O)cc1.C[C@@]12[C@@H](CC[C@@H]2[C@H](C)CCC(=O)[O-])[C@H]2[C@H](C[C@@H]1O)[C@@]1([C@H](CC2)C[C@H](O)CC1)C,1
17,Sorafenib,cholic_acid,Clc1c(C(F)(F)F)cc(cc1)NC(=O)Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1,C1C[C@H]2[C@H]3[C@H](C[C@@H]([C@@]2([C@H]1[C@@H](CCC(=O)O)C)C)O)[C@]1(C)[C@H](C[C@H]3O)C[C@@H](CC1)O,Clc1c(C(F)(F)F)cc(cc1)NC(=O)Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1.C1C[C@H]2[C@H]3[C@H](C[C@@H]([C@@]2([C@H]1[C@@H](CCC(=O)O)C)C)O)[C@]1(C)[C@H](C[C@H]3O)C[C@@H](CC1)O,1
18,Sorafenib,glycocholic_acid,N(c1ccc(Oc2cc(C(NC)=O)ncc2)cc1)C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,C(C[C@@H](C)[C@@H]1[C@@]2([C@@H](CC1)[C@H]1[C@@H]([C@@]3([C@H](C[C@H]1O)C[C@H](O)CC3)C)C[C@@H]2O)C)C(NCC(=O)O)=O,N(c1ccc(Oc2cc(C(NC)=O)ncc2)cc1)C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1.C(C[C@@H](C)[C@@H]1[C@@]2([C@@H](CC1)[C@H]1[C@@H]([C@@]3([C@H](C[C@H]1O)C[C@H](O)CC3)C)C[C@@H]2O)C)C(NCC(=O)O)=O,1
19,Sorafenib,sucrose_octaacetate,CNC(=O)c1cc(Oc2ccc(cc2)NC(=O)Nc2cc(C(F)(F)F)c(Cl)cc2)ccn1,O(C(C)=O)[C@@H]1[C@H]([C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@@H]1O[C@@]1(COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O1)OC(C)=O,CNC(=O)c1cc(Oc2ccc(cc2)NC(=O)Nc2cc(C(F)(F)F)c(Cl)cc2)ccn1.O(C(C)=O)[C@@H]1[C@H]([C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@@H]1O[C@@]1(COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O1)OC(C)=O,0
20,Sorafenib,trans_anethole,c1cc(c(cc1NC(Nc1ccc(cc1)Oc1ccnc(C(=O)NC)c1)=O)C(F)(F)F)Cl,c1cc(ccc1OC)/C=C/C,c1cc(c(cc1NC(Nc1ccc(cc1)Oc1ccnc(C(=O)NC)c1)=O)C(F)(F)F)Cl.c1cc(ccc1OC)/C=C/C,0
21,Sorafenib,indomethacin,c1c(C(F)(F)F)c(ccc1NC(Nc1ccc(cc1)Oc1cc(ncc1)C(NC)=O)=O)Cl,O=C(O)Cc1c2cc(ccc2n(c1C)C(c1ccc(Cl)cc1)=O)OC,c1c(C(F)(F)F)c(ccc1NC(Nc1ccc(cc1)Oc1cc(ncc1)C(NC)=O)=O)Cl.O=C(O)Cc1c2cc(ccc2n(c1C)C(c1ccc(Cl)cc1)=O)OC,1
