drug_name,exc_name,drug_smile,exc_smile,pair_smile,class
Sorafenib,sodium_deoxycholate,N(C(=O)Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1)c1ccc(Cl)c(C(F)(F)F)c1,C1C[C@H]2[C@H]3[C@]([C@@H]([C@H](C)CCC([O-])=O)CC3)(C)[C@@H](O)C[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@@H]12,N(C(=O)Nc1ccc(Oc2ccnc(C(NC)=O)c2)cc1)c1ccc(Cl)c(C(F)(F)F)c1.C1C[C@H]2[C@H]3[C@]([C@@H]([C@H](C)CCC([O-])=O)CC3)(C)[C@@H](O)C[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@@H]12,1
Sorafenib,sodium_deoxycholate,O=C(NC)c1nccc(c1)Oc1ccc(NC(Nc2cc(c(Cl)cc2)C(F)(F)F)=O)cc1,C[C@@]12[C@@H]3[C@H]([C@@H]4CC[C@H]([C@@H](CCC([O-])=O)C)[C@]4([C@@H](O)C3)C)CC[C@@H]1C[C@@H](CC2)O,O=C(NC)c1nccc(c1)Oc1ccc(NC(Nc2cc(c(Cl)cc2)C(F)(F)F)=O)cc1.C[C@@]12[C@@H]3[C@H]([C@@H]4CC[C@H]([C@@H](CCC([O-])=O)C)[C@]4([C@@H](O)C3)C)CC[C@@H]1C[C@@H](CC2)O,1
Sorafenib,sodium_deoxycholate,c1c(ccc(c1)NC(=O)Nc1cc(C(F)(F)F)c(cc1)Cl)Oc1cc(ncc1)C(=O)NC,[C@@H]1([C@@H](CCC([O-])=O)C)[C@]2([C@H](C[C@@H]3[C@]4(CC[C@@H](O)C[C@H]4CC[C@H]3[C@@H]2CC1)C)O)C,c1c(ccc(c1)NC(=O)Nc1cc(C(F)(F)F)c(cc1)Cl)Oc1cc(ncc1)C(=O)NC.[C@@H]1([C@@H](CCC([O-])=O)C)[C@]2([C@H](C[C@@H]3[C@]4(CC[C@@H](O)C[C@H]4CC[C@H]3[C@@H]2CC1)C)O)C,1
Sorafenib,sodium_deoxycholate,c1(nccc(c1)Oc1ccc(NC(Nc2cc(C(F)(F)F)c(Cl)cc2)=O)cc1)C(=O)NC,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)CCC([O-])=O,c1(nccc(c1)Oc1ccc(NC(Nc2cc(C(F)(F)F)c(Cl)cc2)=O)cc1)C(=O)NC.C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C)CCC([O-])=O,1
Sorafenib,sodium_deoxycholate,c1(c(ccc(c1)NC(=O)Nc1ccc(Oc2ccnc(c2)C(NC)=O)cc1)Cl)C(F)(F)F,[C@H](CCC([O-])=O)(C)[C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O)C[C@H]3CC[C@H]12,c1(c(ccc(c1)NC(=O)Nc1ccc(Oc2ccnc(c2)C(NC)=O)cc1)Cl)C(F)(F)F.[C@H](CCC([O-])=O)(C)[C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O)C[C@H]3CC[C@H]12,1
Sorafenib,sodium_deoxycholate,c1(Oc2ccc(NC(Nc3ccc(c(c3)C(F)(F)F)Cl)=O)cc2)ccnc(C(NC)=O)c1,O=C([O-])CC[C@@H](C)[C@@H]1[C@]2([C@H](C[C@H]3[C@H]([C@@H]2CC1)CC[C@H]1[C@]3(C)CC[C@H](C1)O)O)C,c1(Oc2ccc(NC(Nc3ccc(c(c3)C(F)(F)F)Cl)=O)cc2)ccnc(C(NC)=O)c1.O=C([O-])CC[C@@H](C)[C@@H]1[C@]2([C@H](C[C@H]3[C@H]([C@@H]2CC1)CC[C@H]1[C@]3(C)CC[C@H](C1)O)O)C,1
Sorafenib,sodium_deoxycholate,c1cc(cc(C(F)(F)F)c1Cl)NC(Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1)=O,[C@]12([C@@H](O)C[C@@H]3[C@]4(CC[C@H](C[C@H]4CC[C@H]3[C@@H]2CC[C@@H]1[C@@H](CCC([O-])=O)C)O)C)C,c1cc(cc(C(F)(F)F)c1Cl)NC(Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1)=O.[C@]12([C@@H](O)C[C@@H]3[C@]4(CC[C@H](C[C@H]4CC[C@H]3[C@@H]2CC[C@@H]1[C@@H](CCC([O-])=O)C)O)C)C,1
Sorafenib,sodium_deoxycholate,C(c1cc(Oc2ccc(NC(Nc3cc(C(F)(F)F)c(Cl)cc3)=O)cc2)ccn1)(=O)NC,C1C[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@@H]([C@@]2([C@H]1[C@@H](CCC([O-])=O)C)C)O)O,C(c1cc(Oc2ccc(NC(Nc3cc(C(F)(F)F)c(Cl)cc3)=O)cc2)ccn1)(=O)NC.C1C[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@@H]([C@@]2([C@H]1[C@@H](CCC([O-])=O)C)C)O)O,1
Sorafenib,sodium_deoxycholate,c1cc(ccc1Oc1cc(C(=O)NC)ncc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,[C@H]1([C@]2([C@@H](CC[C@@H]2[C@H](C)CCC([O-])=O)[C@@H]2CC[C@H]3[C@](C)(CC[C@H](C3)O)[C@H]2C1)C)O,c1cc(ccc1Oc1cc(C(=O)NC)ncc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl.[C@H]1([C@]2([C@@H](CC[C@@H]2[C@H](C)CCC([O-])=O)[C@@H]2CC[C@H]3[C@](C)(CC[C@H](C3)O)[C@H]2C1)C)O,1
Sorafenib,sodium_deoxycholate,c1c(ccnc1C(=O)NC)Oc1ccc(NC(Nc2cc(C(F)(F)F)c(Cl)cc2)=O)cc1,[O-]C(=O)CC[C@H]([C@@H]1[C@@]2([C@@H](CC1)[C@@H]1CC[C@H]3[C@](C)(CC[C@H](C3)O)[C@H]1C[C@@H]2O)C)C,c1c(ccnc1C(=O)NC)Oc1ccc(NC(Nc2cc(C(F)(F)F)c(Cl)cc2)=O)cc1.[O-]C(=O)CC[C@H]([C@@H]1[C@@]2([C@@H](CC1)[C@@H]1CC[C@H]3[C@](C)(CC[C@H](C3)O)[C@H]1C[C@@H]2O)C)C,1
Sorafenib,sodium_deoxycholate,n1ccc(Oc2ccc(cc2)NC(=O)Nc2cc(C(F)(F)F)c(cc2)Cl)cc1C(NC)=O,[C@@H]12[C@@H]3CC[C@H]([C@H](C)CCC([O-])=O)[C@]3([C@@H](O)C[C@@H]2[C@]2(C)[C@@H](C[C@@H](CC2)O)CC1)C,n1ccc(Oc2ccc(cc2)NC(=O)Nc2cc(C(F)(F)F)c(cc2)Cl)cc1C(NC)=O.[C@@H]12[C@@H]3CC[C@H]([C@H](C)CCC([O-])=O)[C@]3([C@@H](O)C[C@@H]2[C@]2(C)[C@@H](C[C@@H](CC2)O)CC1)C,1
Sorafenib,sodium_deoxycholate,FC(c1c(Cl)ccc(c1)NC(=O)Nc1ccc(cc1)Oc1cc(C(NC)=O)ncc1)(F)F,[C@H]12C[C@H](O)CC[C@]2(C)[C@H]2C[C@@H]([C@]3([C@@H](CC[C@@H]3[C@H](C)CCC(=O)[O-])[C@@H]2CC1)C)O,FC(c1c(Cl)ccc(c1)NC(=O)Nc1ccc(cc1)Oc1cc(C(NC)=O)ncc1)(F)F.[C@H]12C[C@H](O)CC[C@]2(C)[C@H]2C[C@@H]([C@]3([C@@H](CC[C@@H]3[C@H](C)CCC(=O)[O-])[C@@H]2CC1)C)O,1
Sorafenib,sodium_deoxycholate,N(C)C(=O)c1nccc(Oc2ccc(NC(Nc3ccc(c(C(F)(F)F)c3)Cl)=O)cc2)c1,[C@@H]12[C@@H]([C@@]3([C@H](CC2)C[C@H](O)CC3)C)C[C@H](O)[C@@]2([C@H](CC[C@H]21)[C@H](C)CCC([O-])=O)C,N(C)C(=O)c1nccc(Oc2ccc(NC(Nc3ccc(c(C(F)(F)F)c3)Cl)=O)cc2)c1.[C@@H]12[C@@H]([C@@]3([C@H](CC2)C[C@H](O)CC3)C)C[C@H](O)[C@@]2([C@H](CC[C@H]21)[C@H](C)CCC([O-])=O)C,1
Sorafenib,sodium_deoxycholate,Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)cc1C(F)(F)F,[C@H]12CC[C@@H]3[C@@H]([C@@]1(C)CC[C@H](C2)O)C[C@@H]([C@]1(C)[C@H](CC[C@@H]31)[C@@H](CCC(=O)[O-])C)O,Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(NC)=O)cc2)cc1C(F)(F)F.[C@H]12CC[C@@H]3[C@@H]([C@@]1(C)CC[C@H](C2)O)C[C@@H]([C@]1(C)[C@H](CC[C@@H]31)[C@@H](CCC(=O)[O-])C)O,1
Sorafenib,sodium_deoxycholate,C(=O)(c1nccc(c1)Oc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1)NC,C([O-])(=O)CC[C@H]([C@H]1CC[C@@H]2[C@@]1([C@@H](O)C[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@H](C2)O)C)C,C(=O)(c1nccc(c1)Oc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1)NC.C([O-])(=O)CC[C@H]([C@H]1CC[C@@H]2[C@@]1([C@@H](O)C[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@H](C2)O)C)C,1
Sorafenib,cholic_acid,c1c(Oc2ccc(NC(Nc3cc(c(cc3)Cl)C(F)(F)F)=O)cc2)ccnc1C(=O)NC,O[C@@H]1[C@]2(C)[C@H](CC[C@H]2[C@H]2[C@@H]([C@]3(C)[C@@H](C[C@H](O)CC3)C[C@H]2O)C1)[C@H](C)CCC(=O)O,c1c(Oc2ccc(NC(Nc3cc(c(cc3)Cl)C(F)(F)F)=O)cc2)ccnc1C(=O)NC.O[C@@H]1[C@]2(C)[C@H](CC[C@H]2[C@H]2[C@@H]([C@]3(C)[C@@H](C[C@H](O)CC3)C[C@H]2O)C1)[C@H](C)CCC(=O)O,1
Sorafenib,cholic_acid,n1c(C(=O)NC)cc(Oc2ccc(cc2)NC(Nc2ccc(c(c2)C(F)(F)F)Cl)=O)cc1,C1[C@@]2([C@@H]3[C@@H]([C@@H](C[C@@H]2C[C@H](O)C1)O)[C@H]1[C@@]([C@H](C3)O)(C)[C@@H]([C@@H](CCC(O)=O)C)CC1)C,n1c(C(=O)NC)cc(Oc2ccc(cc2)NC(Nc2ccc(c(c2)C(F)(F)F)Cl)=O)cc1.C1[C@@]2([C@@H]3[C@@H]([C@@H](C[C@@H]2C[C@H](O)C1)O)[C@H]1[C@@]([C@H](C3)O)(C)[C@@H]([C@@H](CCC(O)=O)C)CC1)C,1
Sorafenib,cholic_acid,c1c(NC(Nc2ccc(Oc3ccnc(c3)C(NC)=O)cc2)=O)cc(c(c1)Cl)C(F)(F)F,[C@@H]1(C[C@@H]2[C@@]3(C)CC[C@H](C[C@H]3C[C@H]([C@H]2[C@@H]2CC[C@H]([C@H](C)CCC(O)=O)[C@]21C)O)O)O,c1c(NC(Nc2ccc(Oc3ccnc(c3)C(NC)=O)cc2)=O)cc(c(c1)Cl)C(F)(F)F.[C@@H]1(C[C@@H]2[C@@]3(C)CC[C@H](C[C@H]3C[C@H]([C@H]2[C@@H]2CC[C@H]([C@H](C)CCC(O)=O)[C@]21C)O)O)O,1
Sorafenib,cholic_acid,O(c1cc(C(NC)=O)ncc1)c1ccc(NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)cc1,C1[C@H]([C@H](C)CCC(O)=O)[C@@]2([C@@H](C1)[C@@H]1[C@@H](C[C@H]3[C@@]([C@H]1C[C@@H]2O)(CC[C@H](C3)O)C)O)C,O(c1cc(C(NC)=O)ncc1)c1ccc(NC(=O)Nc2cc(c(cc2)Cl)C(F)(F)F)cc1.C1[C@H]([C@H](C)CCC(O)=O)[C@@]2([C@@H](C1)[C@@H]1[C@@H](C[C@H]3[C@@]([C@H]1C[C@@H]2O)(CC[C@H](C3)O)C)O)C,1
Sorafenib,cholic_acid,c1(cc(c(Cl)cc1)C(F)(F)F)NC(=O)Nc1ccc(Oc2ccnc(c2)C(NC)=O)cc1,C(CC(=O)O)[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@@]4([C@H](C[C@H]([C@H]3[C@@H]2CC1)O)C[C@H](O)CC4)C)C,c1(cc(c(Cl)cc1)C(F)(F)F)NC(=O)Nc1ccc(Oc2ccnc(c2)C(NC)=O)cc1.C(CC(=O)O)[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@@]4([C@H](C[C@H]([C@H]3[C@@H]2CC1)O)C[C@H](O)CC4)C)C,1
Sorafenib,cholic_acid,Clc1c(cc(cc1)NC(Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1)=O)C(F)(F)F,[C@@H]1(C[C@H]2[C@H]([C@H]3[C@]1([C@H](CC3)[C@H](C)CCC(=O)O)C)[C@@H](C[C@@H]1C[C@H](O)CC[C@]21C)O)O,Clc1c(cc(cc1)NC(Nc1ccc(Oc2cc(C(=O)NC)ncc2)cc1)=O)C(F)(F)F.[C@@H]1(C[C@H]2[C@H]([C@H]3[C@]1([C@H](CC3)[C@H](C)CCC(=O)O)C)[C@@H](C[C@@H]1C[C@H](O)CC[C@]21C)O)O,1
Sorafenib,cholic_acid,C(c1cc(ccc1Cl)NC(Nc1ccc(Oc2ccnc(c2)C(=O)NC)cc1)=O)(F)(F)F,C1[C@H](O)CC[C@]2(C)[C@@H]3[C@H]([C@@H]4CC[C@H]([C@H](C)CCC(=O)O)[C@@]4(C)[C@@H](O)C3)[C@@H](C[C@H]12)O,C(c1cc(ccc1Cl)NC(Nc1ccc(Oc2ccnc(c2)C(=O)NC)cc1)=O)(F)(F)F.C1[C@H](O)CC[C@]2(C)[C@@H]3[C@H]([C@@H]4CC[C@H]([C@H](C)CCC(=O)O)[C@@]4(C)[C@@H](O)C3)[C@@H](C[C@H]12)O,1
Sorafenib,cholic_acid,c1cc(NC(=O)Nc2cc(c(Cl)cc2)C(F)(F)F)ccc1Oc1cc(ncc1)C(NC)=O,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@@H]([C@@]4([C@H](C[C@H]3O)C[C@@H](CC4)O)C)C[C@@H]([C@]12C)O,c1cc(NC(=O)Nc2cc(c(Cl)cc2)C(F)(F)F)ccc1Oc1cc(ncc1)C(NC)=O.C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@@H]([C@@]4([C@H](C[C@H]3O)C[C@@H](CC4)O)C)C[C@@H]([C@]12C)O,1
Sorafenib,cholic_acid,C(c1c(Cl)ccc(NC(=O)Nc2ccc(cc2)Oc2ccnc(C(NC)=O)c2)c1)(F)(F)F,C1C[C@]2(C)[C@H]3C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]4[C@@H]3[C@H](O)C[C@@H]2C[C@@H]1O,C(c1c(Cl)ccc(NC(=O)Nc2ccc(cc2)Oc2ccnc(C(NC)=O)c2)c1)(F)(F)F.C1C[C@]2(C)[C@H]3C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]4[C@@H]3[C@H](O)C[C@@H]2C[C@@H]1O,1
