Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
GaussianNB,concat_w_o,original,1440_pairs,Standard,0.677149789763207,0.013056898931991719,0.6993850968986122,0.6895766811039803,0.6602620846637791,0.6694144984350795,0.6694144984350795,0.6873478549524201,0.6929199203313205,0.6690430274098194,0.6632338528658593,0.6709003825361196
KNeighborsClassifier,concat_w_o,original,1440_pairs,Standard,0.5749711517182511,0.007229607763043206,0.579534317599823,0.5843397300116975,0.566659289937087,0.5677144257216021,0.5840947172078025,0.5832727387689292,0.5729980082830135,0.5745826878694951,0.5634622680282002,0.5730533337548607
DecisionTreeClassifier,concat_w_o,original,1440_pairs,Standard,0.6179515348866619,0.013466238333343363,0.6179855205336536,0.6155195852170339,0.6194714046346937,0.6361717934937244,0.6004236350415731,0.6114334039391737,0.6198428756599538,0.5954759571306629,0.6426053555056749,0.6205858177104738
RandomForestClassifier,concat_w_o,original,1440_pairs,Standard,0.8587200847270082,0.007283309797177694,0.8584458284594229,0.8407811956624829,0.8597499288672504,0.8701629730327842,0.8637254592014163,0.858722455818659,0.8632038190382852,0.8615321994246151,0.8544426353893332,0.8564343523758339
MLPClassifier,concat_w_o,original,1440_pairs,Standard,0.8262550978470488,0.0077567403970278705,0.8354857576428187,0.8297081976541999,0.8253849072112801,0.8136717144573361,0.8297398122095413,0.8144304637855269,0.8312652145047578,0.8270999968385445,0.8188723088109765,0.8368926053555056
LinearSVC,concat_w_o,original,1440_pairs,Standard,0.8396849609560242,0.008415530269979299,0.8477284941987292,0.8522809901678734,0.8383389712623691,0.8379595965982739,0.8308463216464861,0.8352486484777593,0.8436897347538808,0.8477917233094118,0.8223736208150234,0.8405915083304353
GaussianNB,concat_w_o,original,1440_pairs,Stratified,0.6911214473143434,0.006901194405071722,0.6888337390534602,0.6850755587872657,0.7035582182036609,0.6909598179001613,0.6811672093832,0.68228162245898,0.7005864500015806,0.6921769782808005,0.6943979007935253,0.6921769782808005
KNeighborsClassifier,concat_w_o,original,1440_pairs,Stratified,0.5758986437355759,0.010644570050470929,0.5889119850779297,0.5790324365337801,0.5801626568872309,0.5847270083146281,0.5721562707470519,0.5853672030602891,0.5779338307356706,0.5596329550124878,0.5539028168568809,0.5771592741298093
DecisionTreeClassifier,concat_w_o,original,1440_pairs,Stratified,0.625324049192248,0.01015384283181513,0.6426053555056749,0.6209572887357339,0.6205858177104738,0.617495494925864,0.617866965951124,0.6418624134551547,0.6152666687743037,0.6270193797224243,0.6346859093926842,0.6148951977490437
RandomForestClassifier,concat_w_o,original,1440_pairs,Stratified,0.8667529480572856,0.0055495619580385605,0.872735607473681,0.8667960228889382,0.8730082830134994,0.8578135373525971,0.8587896367487592,0.8676693749802408,0.8694318864405172,0.8684715943220258,0.8601411589895988,0.8726723783629984
