Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
GaussianNB,concat_w_o,original,all_in_one,Standard,0.6820439229323714,0.010906752964136745,0.6948830377778257,0.6941594487763787,0.6842181998833619,0.668763634792751,0.6634717152299285,0.6764855174201352,0.6805813551634015,0.6822418299241853,0.6990463744951076,0.6765881158606388
KNeighborsClassifier,concat_w_o,original,all_in_one,Standard,0.6098327105427997,0.006049429524259185,0.6074691664686698,0.6166652266885543,0.6156662418731235,0.6073179687668747,0.6057681923234767,0.6120698965375725,0.6138464695336631,0.5950385554139577,0.6138572693695056,0.6106281184525996
DecisionTreeClassifier,concat_w_o,original,all_in_one,Standard,0.6937787545629306,0.013584988595841396,0.6700380154221656,0.6991651726893752,0.7078266410350563,0.6798982655463637,0.7022863252478562,0.6963842149599325,0.698441583687928,0.6720737844784759,0.7056558740307146,0.7060176685314383
RandomForestClassifier,concat_w_o,original,all_in_one,Standard,0.8890330366978422,0.003456704482601991,0.8868177203706503,0.892619932177031,0.8872983130656414,0.8828352809037302,0.8853408428191892,0.8926226321359916,0.8947286001252781,0.8894069810138887,0.8900441713285958,0.8886158930384258
MLPClassifier,concat_w_o,original,all_in_one,Standard,0.8591031816316391,0.0055662814924468534,0.8566861783700886,0.8626152882476187,0.863079681188846,0.8603311229669308,0.8651046504093138,0.8489156964814134,0.865282847700715,0.8582359548134868,0.849558286714042,0.8612221094239366
LinearSVC,concat_w_o,original,all_in_one,Standard,0.8749384409356977,0.003060675621343062,0.8762230814091625,0.8781400522712055,0.8748839017646932,0.8756614899453528,0.8742035121066161,0.878501846771929,0.8671350195477029,0.8750890986457006,0.872896731969674,0.8766496749249412
GaussianNB,concat_w_o,original,all_in_one,Stratified,0.6816124694904637,0.009512530910570877,0.6680400457913039,0.6923234766831544,0.6795958701427738,0.6912380931809837,0.6900663109920728,0.6927122707734843,0.6727514741775925,0.6664794695120634,0.6833272134263558,0.6795904702248525
KNeighborsClassifier,concat_w_o,original,all_in_one,Stratified,0.612625548091669,0.005545856853078313,0.6178451087543468,0.613954467892088,0.6141137654707648,0.6030250340194828,0.6199699764563579,0.6093942372075944,0.6118673996155258,0.6136952718318681,0.6036460245804264,0.6187441950882346
DecisionTreeClassifier,concat_w_o,original,all_in_one,Stratified,0.6993871093159383,0.012456490924409641,0.69663261118431,0.7123949715964317,0.7257597684515195,0.6915674881741798,0.6944618441799685,0.6847149923321164,0.7133669568222563,0.6906171026200402,0.6910922953971099,0.6932630624014515
RandomForestClassifier,concat_w_o,original,all_in_one,Stratified,0.8882627384063762,0.00495579755305565,0.8794576322439899,0.8887184914789295,0.8901116703026113,0.896545672505778,0.8906138626692874,0.8843364580858369,0.8900495712465168,0.8921663390716462,0.8808940104110419,0.889733676048124
MLPClassifier,concat_w_o,original,all_in_one,Stratified,0.866841264012787,0.008389672353401576,0.8695109834330518,0.8782858500550792,0.8707421647190963,0.8734151240901138,0.8479329114197465,0.8707853640624661,0.8613247078644405,0.8679342074000476,0.8709149620925762,0.8575663649912522
