Model,Parameter,Dataset,Mode,AUC_avg,AUC_std,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
DeepDDI_1000,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 512, 'model': 'DeepDDI_1000', 'hidden_channels': 4096, 'hidden_layers_num': 5, 'out_channels': 1}",screening_1440,LOEO,0.5964109576048813,0.02158729349356222,0.5765111757453131,0.5704767474945465,0.6270035724447535,0.5958632354335935,0.6068888116088647,0.6083746957099048,0.5787913755493028,0.6152113433024564,0.5632725806961525,0.6217160380639246
DeepDDI_1003,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 512, 'model': 'DeepDDI_1003', 'hidden_channels': 4096, 'hidden_layers_num': 7, 'out_channels': 1}",screening_1440,LOEO,0.5624470456198034,0.025068371160670413,0.5895087098099966,0.5085161708450571,0.5624664095349499,0.5868214726059877,0.5806289715785148,0.5479158104391262,0.5863986279282981,0.53608801492207,0.5739780594985932,0.5521482090354399
DeepDDI_1006,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 512, 'model': 'DeepDDI_1006', 'hidden_channels': 4096, 'hidden_layers_num': 9, 'out_channels': 1}",screening_1440,LOEO,0.5659981505485125,0.030950943140174107,0.5129501122316714,0.543884954633113,0.592954696342196,0.5725830672441592,0.5901568081944928,0.554946097183143,0.5323100755587873,0.5681175113022034,0.6265056431981284,0.5655725395972306
DeepDDI_1009,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1009', 'hidden_channels': 1024, 'hidden_layers_num': 3, 'out_channels': 1}",screening_1440,LOEO,0.7377422465303025,0.015244248978046826,0.7394328348771775,0.7110429641807089,0.7557538490721127,0.7500790363883533,0.7324381145079195,0.7198318105655843,0.722218709493851,0.7526398153709969,0.755611583573077,0.7383737472732445
DeepDDI_1012,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1012', 'hidden_channels': 1024, 'hidden_layers_num': 5, 'out_channels': 1}",screening_1440,LOEO,0.6453890171034744,0.025130169172034058,0.6581281021782428,0.6087540703740002,0.6461145711485567,0.6299832442856691,0.6342433056179064,0.6009926970377161,0.6829218172046411,0.6635658056969429,0.6638819512503555,0.6653046062407132
DeepDDI_1015,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1015', 'hidden_channels': 1024, 'hidden_layers_num': 7, 'out_channels': 1}",screening_1440,LOEO,0.5435632765325156,0.03474448334808185,0.46589579842559514,0.5214741867155638,0.5235251809933293,0.5996372229774588,0.5796094021687586,0.5638574499699662,0.5375027662735924,0.5379216591318643,0.5577953589832759,0.5484137396857512
DeepDDI_1018,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1018', 'hidden_channels': 1024, 'hidden_layers_num': 9, 'out_channels': 1}",screening_1440,LOEO,0.55435688090797,0.03372930375737716,0.5179215010590876,0.617226771205463,0.5992222819386045,0.5482872814643862,0.5637942208592837,0.5859836868894439,0.5343096961841232,0.5325590401820999,0.5208023774145616,0.5234619518826468
DeepDDI_1021,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1021', 'hidden_channels': 2048, 'hidden_layers_num': 3, 'out_channels': 1}",screening_1440,LOEO,0.718106446207834,0.01631013648344473,0.7420805538870097,0.7189466030160288,0.7158957984255951,0.7099838765767759,0.7154927128449937,0.70872719800196,0.6841468812241157,0.7254117795833201,0.7156903038158766,0.7446887547026652
DeepDDI_1024,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1024', 'hidden_channels': 2048, 'hidden_layers_num': 5, 'out_channels': 1}",screening_1440,LOEO,0.6053005753849072,0.02749139060081353,0.5975229995890108,0.5895877461983499,0.6665296702601878,0.5731402737820492,0.5832490278524233,0.5839998735417786,0.588619550441023,0.6105640036672884,0.6275252126078847,0.6322673959090765
DeepDDI_1027,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1027', 'hidden_channels': 2048, 'hidden_layers_num': 7, 'out_channels': 1}",screening_1440,LOEO,0.557080870032563,0.03479232881560843,0.5256354525623597,0.6124490215295122,0.5328909930131832,0.5399331352154533,0.512977774967595,0.59564983718504,0.6014511080901648,0.5561988239385414,0.5188976004552497,0.5747249533685308
DeepDDI_1030,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1030', 'hidden_channels': 2048, 'hidden_layers_num': 9, 'out_channels': 1}",screening_1440,LOEO,0.5460900698681674,0.040449268475207696,0.5017229932660998,0.6120894059625052,0.5129145458569124,0.5590243748221682,0.5924330561790648,0.5150603838007018,0.5529741392937308,0.5062478264993203,0.5983291707502134,0.5101048022509564
DeepDDI_1033,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1033', 'hidden_channels': 4096, 'hidden_layers_num': 3, 'out_channels': 1}",screening_1440,LOEO,0.718006860358509,0.01837787557543844,0.7026888179317758,0.6931570294963801,0.7246609338939648,0.6995431696753186,0.7093041636369383,0.7260835888843223,0.7467120862445069,0.7061506117416458,0.721823527552085,0.7499446745281527
DeepDDI_1036,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1036', 'hidden_channels': 4096, 'hidden_layers_num': 5, 'out_channels': 1}",screening_1440,LOEO,0.5831790806487307,0.03156472438217478,0.6274856944137082,0.5984121589579842,0.53151180803642,0.5565110176725365,0.5983331225696311,0.6237433214251842,0.6099080016439569,0.5582182036609655,0.5784357118017135,0.5492317663052069
DeepDDI_1039,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1039', 'hidden_channels': 4096, 'hidden_layers_num': 7, 'out_channels': 1}",screening_1440,LOEO,0.5769668205241694,0.03398683647100177,0.5838892225980841,0.57933672662894,0.5811031899086339,0.6005619487211913,0.5916110777401916,0.5467184091555752,0.6258061711612025,0.49432913913565807,0.5990207391483039,0.5672915810439125
DeepDDI_103,"{'mode': 'Standard', 'epoch': 200, 'batch_size': 256, 'model': 'DeepDDI_103', 'hidden_channels': 4096, 'hidden_layers_num': 7, 'out_channels': 1}",screening_1440,Standard,0.5784001454269545,0.015333059340520483,0.5630670860864341,0.593733204767475
DeepDDI_1042,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 1024, 'model': 'DeepDDI_1042', 'hidden_channels': 4096, 'hidden_layers_num': 9, 'out_channels': 1}",screening_1440,LOEO,0.5962896367487591,0.050172053876501,0.5932826973538616,0.5433791217476526,0.5333968258986437,0.6255097847048782,0.7007089564035281,0.5965034301792546,0.5603640416047548,0.5564082703676774,0.5956577408238753,0.6576854984034649
DeepDDI_1045,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1045', 'hidden_channels': 1024, 'hidden_layers_num': 3, 'out_channels': 1}",screening_1440,LOEO,0.7594488002276248,0.01566770972403508,0.7633176314375139,0.7469096772153899,0.7848866618191015,0.7399070532072967,0.7492096361164681,0.7629935822452658,0.7339398058866303,0.7695773133950872,0.7779630741993613,0.7657835667541337
DeepDDI_1048,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1048', 'hidden_channels': 1024, 'hidden_layers_num': 5, 'out_channels': 1}",screening_1440,LOEO,0.6866337611836489,0.015431909174768096,0.6822737188201449,0.7034396636211312,0.6552906958363629,0.6864626474028643,0.6970614270810281,0.6960734722266131,0.6968401251936392,0.7051824159843192,0.6745755745945433,0.6691378710758432
DeepDDI_1051,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1051', 'hidden_channels': 1024, 'hidden_layers_num': 7, 'out_channels': 1}",screening_1440,LOEO,0.6131524453858557,0.020422806764364046,0.6389301634472512,0.5932313237014322,0.6092599032594607,0.6044465872087509,0.5963374537637127,0.6610366412696406,0.6180566532831717,0.6034981505485125,0.5951756188549209,0.6115519585217034
DeepDDI_1054,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1054', 'hidden_channels': 1024, 'hidden_layers_num': 9, 'out_channels': 1}",screening_1440,LOEO,0.5773054914482627,0.022990861846391798,0.5874774746293193,0.59676425026082,0.5452167177768645,0.5759302582909172,0.5632686288767348,0.5809016471183333,0.5341911416015934,0.6106430400556416,0.6016328917833771,0.5770288640890265
DeepDDI_1057,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1057', 'hidden_channels': 2048, 'hidden_layers_num': 3, 'out_channels': 1}",screening_1440,LOEO,0.7496474977079447,0.010212721227802944,0.7533511428661755,0.7495811071417281,0.7422465303025514,0.7393537984888242,0.7616499636432613,0.7647165755113655,0.732675223672979,0.7599269703771617,0.7529559609244096,0.7400177041509911
DeepDDI_1060,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1060', 'hidden_channels': 2048, 'hidden_layers_num': 5, 'out_channels': 1}",screening_1440,LOEO,0.6802274667256805,0.017372763937012894,0.7015032721064778,0.6562707470519428,0.6785906231228859,0.6715010590876039,0.6953542410925989,0.7050045841105246,0.6875217350067971,0.6574879074325821,0.6892605355505675,0.6597799626948248
DeepDDI_1063,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1063', 'hidden_channels': 2048, 'hidden_layers_num': 7, 'out_channels': 1}",screening_1440,LOEO,0.6165170244380513,0.0251819562847153,0.6201274066580253,0.6598431918055072,0.6309474882235782,0.6271063197496127,0.631390091998356,0.6140416047548292,0.6040118870728083,0.6063355568903923,0.6151955360247858,0.5561711612026177
DeepDDI_1066,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1066', 'hidden_channels': 2048, 'hidden_layers_num': 9, 'out_channels': 1}",screening_1440,LOEO,0.5907416774683065,0.016311198100376043,0.5921327179033227,0.6105798109449591,0.5645806329233979,0.6008820460940216,0.6109275710537132,0.576270114760836,0.5765388384812369,0.5887973823148177,0.611267427523632,0.5754402326831274
DeepDDI_1069,"{'mode': 'LOEO', 'epoch': 200, 'batch_size': 2000, 'model': 'DeepDDI_1069', 'hidden_channels': 4096, 'hidden_layers_num': 3, 'out_channels': 1}",screening_1440,LOEO,0.7069986721886756,0.019549327545129194,0.6870870348708545,0.7287155006164837,0.711841231703076,0.700270304448168,0.7088299453068193,0.6857434162688502,0.7036925800638614,0.6774208845752585,0.7424599285511049,0.7239258954822801
DeepDDI_106,"{'mode': 'Standard', 'epoch': 200, 'batch_size': 256, 'model': 'DeepDDI_106', 'hidden_channels': 4096, 'hidden_layers_num': 9, 'out_channels': 1}",screening_1440,Standard,0.502614128544782,0.012608279852043852,0.5152224083968259,0.49000584869273817
