Model,Parameter,Dataset,Mode,AUC_avg,AUC_std,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
DeepDDI,"['hidden_layers_num=9, default']",1440_pairs,External,0.5432748538011696,0.08050751584407177,0.5796783625730993,0.3713450292397661,0.587719298245614,0.5211988304093567,0.5847953216374269,0.4305555555555555,0.6637426900584795,0.5445906432748537,0.5577485380116958,0.591374269005848
DeepDDI,['hidden_layers_num=5'],1440_pairs,External,0.49199561403508774,0.12952284550097223,0.4437134502923977,0.3618421052631579,0.5029239766081871,0.672514619883041,0.4364035087719298,0.2741228070175439,0.618421052631579,0.5255847953216375,0.6889619883040936,0.39546783625730997
DeepDDI,['hidden_layers_num=12'],1440_pairs,External,0.5991959064327486,0.10459964390446885,0.7200292397660818,0.4312865497076024,0.7448830409356726,0.5592105263157895,0.706140350877193,0.5635964912280702,0.5548245614035088,0.6264619883040936,0.6476608187134504,0.43786549707602346
DeepSynergy,"['dropout_rate=0.5, default']",1440_pairs,External,0.5747441520467838,0.015139919516735332,0.548611111111111,0.5964912280701755,0.5774853801169592,0.5745614035087719,0.5796783625730993,0.5606725146198831,0.5760233918128655,0.5730994152046783,0.5599415204678363,0.6008771929824562
DeepSynergy,['dropout_rate=0.25'],1440_pairs,External,0.5665204678362573,0.019922775913576787,0.5745614035087719,0.5482456140350876,0.5730994152046783,0.5307017543859649,0.5782163742690059,0.587719298245614,0.543859649122807,0.5628654970760233,0.6001461988304093,0.5657894736842105
DeepSynergy,['dropout_rate=0.75'],1440_pairs,External,0.5664473684210527,0.010859384985466543,0.570906432748538,0.5687134502923977,0.5862573099415205,0.5694444444444445,0.5730994152046783,0.5526315789473685,0.5453216374269007,0.5687134502923977,0.5592105263157895,0.5701754385964912
MatchMaker,"['dropout_rate=0.5, default']",1440_pairs,External,0.6283625730994151,0.008619533902329652,0.6264619883040935,0.6176900584795322,0.6235380116959064,0.638157894736842,0.6286549707602338,0.64546783625731,0.6206140350877193,0.6176900584795321,0.6315789473684211,0.6337719298245614
MatchMaker,['dropout_rate=0.25'],1440_pairs,External,0.614546783625731,0.03561082108909568,0.6206140350877193,0.6440058479532164,0.6111111111111112,0.625,0.6228070175438596,0.5789473684210527,0.5233918128654971,0.638888888888889,0.6337719298245614,0.6469298245614036
MatchMaker,['dropout_rate=0.75'],1440_pairs,External,0.6120979532163743,0.010698580781630935,0.6089181286549707,0.6103801169590642,0.596125730994152,0.6257309941520468,0.597953216374269,0.6140350877192983,0.6213450292397661,0.6308479532163742,0.6052631578947368,0.6103801169590642
DeepDDS,"['dropout=0.5, default']",1440_pairs,External,0.5343932748538011,0.07139580066313866,0.5431286549707602,0.4722222222222222,0.685672514619883,0.5369152046783625,0.5935672514619883,0.5504385964912281,0.41228070175438597,0.5343567251461988,0.46271929824561403,0.5526315789473685
DeepDDS,['dropout=0.25'],1440_pairs,External,0.49678362573099405,0.044851361279202175,0.5263157894736842,0.5343567251461988,0.48830409356725146,0.4773391812865497,0.5504385964912281,0.5014619883040936,0.547514619883041,0.48830409356725146,0.3947368421052632,0.4590643274853801
DeepDDS,['dropout=0.75'],1440_pairs,External,0.5946271929824561,0.04288713784107432,0.5964912280701754,0.5219298245614035,0.5427631578947368,0.6103801169590642,0.6191520467836258,0.6228070175438597,0.6133040935672514,0.6688596491228069,0.5423976608187134,0.608187134502924
DeepDrug,"['dropout_rate=0.1, default']",1440_pairs,External,0.5722222222222222,0.09402233082419903,0.6374269005847953,0.6096491228070176,0.6103801169590644,0.45540935672514615,0.5073099415204678,0.35891812865497075,0.6476608187134503,0.6081871345029239,0.6630116959064327,0.6242690058479532
DeepDrug,['dropout_rate=0.05'],1440_pairs,External,0.5868421052631578,0.10595573007994284,0.6812865497076023,0.5899122807017543,0.631578947368421,0.7127192982456141,0.39473684210526316,0.6864035087719298,0.4919590643274854,0.6871345029239765,0.5365497076023392,0.45614035087719296
DeepDrug,['dropout_rate=0.3'],1440_pairs,External,0.5989035087719299,0.10819061654741012,0.5460526315789473,0.7346491228070177,0.763888888888889,0.5226608187134503,0.4919590643274854,0.6988304093567251,0.6608187134502924,0.6176900584795322,0.41666666666666663,0.5358187134502924
EPGCNDS,"['hidden_channels=32, default']",1440_pairs,External,0.7964181286549707,0.01583830034460204,0.8033625730994152,0.7843567251461989,0.793859649122807,0.7982456140350876,0.8296783625730995,0.7850877192982456,0.7997076023391814,0.8135964912280702,0.7850877192982456,0.7711988304093567
EPGCNDS,['hidden_channels=16'],1440_pairs,External,0.7815058479532164,0.025975401739008572,0.7514619883040936,0.7967836257309941,0.7960526315789473,0.7763157894736843,0.7960526315789475,0.7192982456140351,0.8033625730994152,0.8099415204678363,0.7836257309941521,0.7821637426900585
EPGCNDS,['hidden_channels=64'],1440_pairs,External,0.7883040935672515,0.013931912433568916,0.7960526315789473,0.7777777777777778,0.8062865497076024,0.7923976608187134,0.780701754385965,0.7909356725146198,0.7595029239766082,0.7755847953216375,0.8033625730994152,0.8004385964912281
GCNBMP,"['hidden_conv_layers=1, default']",1440_pairs,External,0.6274122807017544,0.04446469846668153,0.716374269005848,0.5767543859649122,0.6586257309941521,0.5950292397660819,0.5840643274853801,0.6432748538011697,0.6133040935672515,0.6074561403508772,0.5935672514619883,0.685672514619883
GCNBMP,['hidden_conv_layers=3'],1440_pairs,External,0.6004385964912281,0.041614309980059105,0.6871345029239767,0.5482456140350878,0.6198830409356724,0.6257309941520468,0.6016081871345029,0.5869883040935673,0.5599415204678363,0.6432748538011696,0.5665204678362572,0.5650584795321638
GCNBMP,['hidden_conv_layers=5'],1440_pairs,External,0.5934941520467836,0.03831057989364763,0.527046783625731,0.6162280701754386,0.5855263157894737,0.614766081871345,0.5423976608187134,0.6089181286549706,0.6593567251461988,0.5899122807017543,0.5635964912280702,0.6271929824561404
MRGNN,"['hidden_channels=32, default']",1440_pairs,External,0.5755847953216374,0.044765499364050616,0.5818713450292399,0.6089181286549707,0.5694444444444444,0.5175438596491229,0.5869883040935673,0.577485380116959,0.6206140350877194,0.5153508771929824,0.5204678362573099,0.6571637426900585
MRGNN,['hidden_channels=16'],1440_pairs,External,0.7146198830409357,0.08410322009032255,0.7083333333333333,0.8501461988304094,0.8135964912280702,0.7214912280701755,0.6842105263157895,0.60453216374269,0.827485380116959,0.6681286549707602,0.662280701754386,0.6059941520467836
MRGNN,['hidden_channels=64'],1440_pairs,External,0.5881578947368421,0.04047120587330079,0.5921052631578947,0.5826023391812866,0.6337719298245614,0.5263157894736842,0.6198830409356725,0.6133040935672515,0.6198830409356726,0.5964912280701754,0.5007309941520468,0.5964912280701755
SSIDDI,"['head_number=(2,2), default']",1440_pairs,External,0.5510964912280703,0.05681611782006489,0.5767543859649122,0.5497076023391813,0.4415204678362573,0.5964912280701754,0.5964912280701754,0.5263157894736843,0.5913742690058479,0.6140350877192983,0.5628654970760234,0.45540935672514626
SSIDDI,"['head_number=(1,1)']",1440_pairs,External,0.5975146198830409,0.05894388014138143,0.5701754385964912,0.6279239766081871,0.5489766081871345,0.5840643274853802,0.5365497076023392,0.7178362573099415,0.6454678362573099,0.5116959064327485,0.5847953216374269,0.6476608187134503
SSIDDI,"['head_number=(4,4)']",1440_pairs,External,0.583625730994152,0.06933833074617914,0.6849415204678363,0.6652046783625731,0.5511695906432749,0.6067251461988303,0.5738304093567251,0.60453216374269,0.4166666666666667,0.5906432748538012,0.5511695906432749,0.591374269005848
