Model,Parameter,Dataset,Mode,AUC_avg,AUC_std,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
DeepDDI,"['hidden_layers_num=9, default']",1440_pairs,LODO,0.5499533685308716,0.050593696604655736,0.5841816572349909,0.5365938478075305,0.5335469950365148,0.46634235401979074,0.5409764155417154,0.5875209446429136,0.5846084537320982,0.4966053871202301,0.6518486611235814,0.5173089690493504
DeepDDI,['hidden_layers_num=5'],1440_pairs,LODO,0.4324460181467547,0.04208861007862139,0.46121289241566815,0.46183332806424077,0.3658752489646233,0.4989369605766495,0.47213572128608006,0.40634583162087823,0.37250640194745666,0.4509618728462584,0.4011808036419967,0.4334711201036958
DeepDDI,['hidden_layers_num=12'],1440_pairs,LODO,0.5821950776137333,0.033003069725583825,0.5707178084790238,0.5920536815149695,0.6352707786664981,0.6163573709335778,0.5815181309474882,0.535392494704562,0.6066675097214758,0.5201266162941418,0.5861970851379975,0.5776492997375992
DeepSynergy,"['dropout_rate=0.5, default']",1440_pairs,LODO,0.6837698776516709,0.02831800317253475,0.6101609180866872,0.698468274793715,0.673208245076033,0.6912838670924093,0.6672172868388606,0.7078498940912397,0.6864784546805349,0.7138171414119061,0.6841705921406216,0.705044102304701
DeepSynergy,['dropout_rate=0.25'],1440_pairs,LODO,0.6799694129177073,0.04232869233130749,0.6190208972210806,0.7057317188833738,0.6492127975720022,0.7219816003287913,0.7174449116373178,0.6756228067402232,0.7147023489614619,0.6822262969871329,0.5971831431190922,0.7165676077265973
DeepSynergy,['dropout_rate=0.75'],1440_pairs,LODO,0.6941852929088552,0.020410148700785207,0.6923824728905188,0.746269482469729,0.6904381777370301,0.6882409661408111,0.6818627296007082,0.691868736366223,0.677729126489836,0.6766621352470678,0.6804084600550093,0.7159906420916189
MatchMaker,"['dropout_rate=0.5, default']",1440_pairs,LODO,0.6662040403401726,0.011191671926192333,0.654105150011065,0.6818508741424552,0.6783416584995732,0.6568477126869211,0.6675689987670324,0.6749905156333975,0.645031772628118,0.6659606082640448,0.6620799215959027,0.6752631911732162
MatchMaker,['dropout_rate=0.25'],1440_pairs,LODO,0.7030642407764535,0.014314275908827827,0.7059332616736744,0.7159155575226833,0.7018273212987258,0.7168560905440865,0.727620846637792,0.6908412633176315,0.6901615503777939,0.6944966962789669,0.7094385254971389,0.6775512946160412
MatchMaker,['dropout_rate=0.75'],1440_pairs,LODO,0.6350727925136732,0.004490825208526067,0.6293114349846669,0.6381714141190604,0.6366815781986026,0.6422694508551737,0.6271379343049539,0.6387404761152035,0.6381516550219721,0.6359900098005122,0.6326507223925895,0.6316232493439979
DeepDDS,"['dropout=0.5, default']",1440_pairs,LODO,0.6651643166513864,0.025365323549222777,0.6654982453921787,0.6407756631152983,0.6616136069046189,0.726913470962031,0.6853363788688313,0.6420758117037083,0.672010843792482,0.6351522240839682,0.6679681325282159,0.6542987891625305
