Model,Parameter,Dataset,Mode,AUC_avg,AUC_std,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
DeepDDI,"['hidden_layers_num=9, default']",1440_pairs,Standard,0.6433411842812431,0.032244343037989516,0.590223989124593,0.6958521703392242,0.6321290822294584,0.6501928487875818,0.655721444152888,0.6610366412696405,0.649702823179792,0.680783882899687,0.5954285352976509,0.622340425531915
DeepDDI,['hidden_layers_num=5'],1440_pairs,Standard,0.729520881413803,0.040978812281159925,0.7257476842338213,0.8174496538206191,0.7603656223325219,0.7325092472574373,0.6915921090069868,0.6906910941797605,0.6813885112705889,0.7473720400872562,0.7590101482722645,0.6890827036767727
DeepDDI,['hidden_layers_num=12'],1440_pairs,Standard,0.5684980715121242,0.026662165520630107,0.5786728209667731,0.5584434573677721,0.5800322468464482,0.5972226613132685,0.545165344124435,0.5821425184154785,0.6147805949859315,0.5673745692516834,0.5206877746514496,0.5404587271980019
DeepSynergy,"['dropout_rate=0.5, default']",1440_pairs,Standard,0.78785803483924,0.016651320989374555,0.815916347886567,0.7579668679460023,0.798860295279947,0.7740349656982076,0.7781053396983971,0.7986982706838228,0.8085185419367077,0.778745534444058,0.7874316335240745,0.780302551294616
DeepSynergy,['dropout_rate=0.25'],1440_pairs,Standard,0.765441734374506,0.016018147417926225,0.7813142170655372,0.7411084063102653,0.7575558787265657,0.7391799184344472,0.761120419841295,0.759887452182985,0.7769356011507699,0.7888938067086086,0.7677120546299516,0.7807095886946349
DeepSynergy,['dropout_rate=0.75'],1440_pairs,Standard,0.8008330435332427,0.021616920994998057,0.8134741234864532,0.7415272991685372,0.8025671018937119,0.7978565331478613,0.8074436470551042,0.8052859536530619,0.7928930479592804,0.8267838512851318,0.8084157946318486,0.812083083051437
MatchMaker,"['dropout_rate=0.5, default']",1440_pairs,Standard,0.7794382883879738,0.013113992437782053,0.7724265751952198,0.772169706933072,0.7514977395592929,0.7843729252948057,0.8036182858588095,0.7811008188169833,0.7767063956245457,0.7815276153140907,0.7938612437166072,0.7771015775663115
MatchMaker,['dropout_rate=0.25'],1440_pairs,Standard,0.806938999715469,0.012346233728620086,0.8064873067560304,0.825456039960798,0.826443994815213,0.7819860263665392,0.8057680756220165,0.7995242009421137,0.8124229395213557,0.8020928835635927,0.8099570042047358,0.7992515254022952
MatchMaker,['dropout_rate=0.75'],1440_pairs,Standard,0.7517510511839651,0.012473660360353642,0.7629935822452658,0.7692256014669154,0.7521181752078656,0.7223807340899749,0.7383263254402327,0.7534855047263761,0.7524580316777845,0.7532642028389871,0.7603577186936865,0.7529006354525624
DeepDDS,"['dropout=0.5, default']",1440_pairs,Standard,0.8385863551579147,0.014938853006291473,0.844488002276248,0.8446539786917897,0.8388566596060827,0.8391807087983307,0.8476059877967818,0.8500561158357307,0.834679586481616,0.8145490183680566,0.8617732604090923,0.8100202333154184
DeepDDS,['dropout=0.25'],1440_pairs,Standard,0.8516000916822104,0.009178832025046933,0.8528342448863457,0.859975182574057,0.8533637886883121,0.8544544908475863,0.857070595302077,0.8637017482849104,0.8459106572666056,0.8286253991337611,0.8470250703423856,0.8530397394960639
DeepDDS,['dropout=0.75'],1440_pairs,Standard,0.8045686984287566,0.01525719270377665,0.7896525560367994,0.81611393885745,0.8201882646770573,0.7773307830925358,0.7998087319401852,0.8099016787328887,0.8224487053839589,0.7851079637064905,0.8051950618064557,0.8199393000537447
DeepDrug,"['dropout_rate=0.1, default']",1440_pairs,Standard,0.8182131453321109,0.011422808065869618,0.8033021403053966,0.832474471246562,0.8209114476304891,0.820935158546995,0.8052859536530618,0.8379675002371092,0.8229584900888369,0.8020770762859221,0.8215832569314913,0.8146359583952452
DeepDrug,['dropout_rate=0.05'],1440_pairs,Standard,0.8243337232461826,0.014279829992920549,0.8083841800765073,0.8061395466472764,0.8234564193354621,0.8341263317631438,0.843500047421833,0.8483370743890487,0.8098700641775474,0.8136400999019949,0.8335967879611773,0.8222866807878347
DeepDrug,['dropout_rate=0.3'],1440_pairs,Standard,0.8211833328064241,0.012098530973585998,0.8307909961746387,0.8123122885776611,0.8191173216148716,0.8108659226707975,0.813371376181594,0.8059577629540641,0.8506133223736209,0.8259697764850938,0.82155164237615,0.8212829186557491
EPGCNDS,"['hidden_channels=32, default']",1440_pairs,Standard,0.709982295849009,0.013962591630875194,0.6923034365021656,0.7153267364294521,0.7196026050393602,0.6836568556163258,0.6996617242578482,0.7091856090544086,0.711762195314723,0.7160301602857956,0.7173895861654705,0.7349040498245394
EPGCNDS,['hidden_channels=16'],1440_pairs,Standard,0.6822405235370363,0.024659989198264048,0.6756188549208055,0.6940185261294299,0.6939157788245708,0.6674069741709083,0.7158799911479246,0.627311814359331,0.7000094843666023,0.6883120988903292,0.657266605545193,0.7026651070152699
EPGCNDS,['hidden_channels=64'],1440_pairs,Standard,0.7267609307325091,0.01392836233255504,0.7299642755524643,0.7255461414435206,0.7213414055831304,0.7395513894597073,0.714109576048813,0.7225427586860991,0.7377177452499132,0.7464749770794474,0.7349356643798804,0.6954253738421169
GCNBMP,"['hidden_conv_layers=1, default']",1440_pairs,Standard,0.7196294774114002,0.01883350905540949,0.7045540766969113,0.7150263981537098,0.7075495558154975,0.7276959312067275,0.6874031804242673,0.7641554171540577,0.721452056526825,0.7251904776959311,0.725111441307578,0.7181562391324965
GCNBMP,['hidden_conv_layers=3'],1440_pairs,Standard,0.6630627390850748,0.017312616072653764,0.622735607473681,0.6580490657898896,0.6657274509184029,0.6638582403338497,0.6839967120862445,0.6801950618064557,0.6831036008978534,0.6634393474755778,0.6605387120230154,0.6489835920457779
GCNBMP,['hidden_conv_layers=5'],1440_pairs,Standard,0.6656729158104391,0.035996735388134436,0.6739828016818943,0.6171003129840978,0.6032610413834529,0.6815623913249661,0.6640795422212386,0.6596614081122949,0.7135326104138345,0.6442097941892447,0.674370079984825,0.7249691758085424
