Model,Parameter,Dataset,Mode,AUC_avg,AUC_std,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
DeepDDI,"['hidden_layers_num=9, default']",1440_pairs,Stratified,0.6496391988871676,0.03486221251330972,0.7039336410483387,0.6696832221554805,0.6225893901552275,0.6126308052227245,0.6521134330245645,0.5893348297556196,0.6900548512535171,0.627359236192343,0.68011997723752,0.6485726028263412
DeepDDI,['hidden_layers_num=5'],1440_pairs,Stratified,0.7337532800101167,0.02904185055371737,0.7168916569188455,0.7284704878125889,0.694658720875091,0.7936004236350416,0.7416023837374729,0.7152318927634282,0.7633097277986787,0.7564849356643798,0.7279251367329519,0.6993574341626885
DeepDDI,['hidden_layers_num=12'],1440_pairs,Stratified,0.5800381745755747,0.047429580225682735,0.5916624513926212,0.5827708577028865,0.5227466725680503,0.6085841421390409,0.5440272201321489,0.5270818184692232,0.5931483354936613,0.6456759191931966,0.6607955802851634,0.5238887483797541
DeepSynergy,"['dropout_rate=0.5, default']",1440_pairs,Stratified,0.7875818026619456,0.014474553349489865,0.780697733236382,0.7762400809332617,0.771403053966046,0.7815434225917612,0.8085738674085549,0.7930353134583161,0.804377035187,0.8053175682084031,0.79041130536499,0.7642186462647402
DeepSynergy,['dropout_rate=0.25'],1440_pairs,Stratified,0.7832905219563088,0.017716339256785767,0.7772991685371946,0.7985678606430401,0.7900003161455534,0.7752600297176822,0.8007334576839178,0.7532800101166578,0.7909961746388037,0.7965405772817805,0.7507587493281908,0.7994688754702666
DeepSynergy,['dropout_rate=0.75'],1440_pairs,Stratified,0.7854912901900035,0.020612606515304385,0.7926796497107268,0.8101545951756189,0.7780658215042207,0.7404919224811103,0.807143308779362,0.7772991685371945,0.7764771900983213,0.7717350067971294,0.8117432265815181,0.7891230122348329
MatchMaker,"['dropout_rate=0.5, default']",1440_pairs,Stratified,0.774491796022889,0.013632817776156252,0.7851277228035788,0.7572357813537353,0.7910633555689038,0.7654555657424678,0.7748332332205747,0.7662222187094938,0.774584268597262,0.7834244886345675,0.7951771995826878,0.7517941260156176
MatchMaker,['dropout_rate=0.25'],1440_pairs,Stratified,0.8061016091808668,0.01701490727900428,0.8164379880496981,0.7970108437924821,0.8160269988302615,0.7948926685846163,0.7845389017103473,0.814335620119503,0.8143514273971737,0.8202554456071576,0.8302140305396606,0.7729521671777686
MatchMaker,['dropout_rate=0.75'],1440_pairs,Stratified,0.7460343492143784,0.01214455231397453,0.7547737978565331,0.751845499668047,0.7454237931143498,0.7420726502481743,0.7363899339255793,0.765732193101704,0.7359236192342955,0.7255896114571149,0.7392115329897885,0.7633808605481964
DeepDDS,"['dropout=0.5, default']",1440_pairs,Stratified,0.8489334039391736,0.007540084590547217,0.8671872530112863,0.8391451424235719,0.8522533274319496,0.8417098732256331,0.8448910878568493,0.8500837785716544,0.8428005753849072,0.8477443014763997,0.8531108722455818,0.8504078277639024
DeepDDS,['dropout=0.25'],1440_pairs,Stratified,0.8515178938383233,0.007465771439109238,0.8552685656476242,0.8530002213018875,0.8635160127722804,0.8470448294394739,0.8398841326546742,0.8411684739654137,0.8564383041952515,0.8448752805791787,0.8587856849293415,0.8551974328981062
DeepDDS,['dropout=0.75'],1440_pairs,Stratified,0.7992021276595745,0.010693960141675195,0.778524232556669,0.8007966867946003,0.8175603047643135,0.8105339698397142,0.8004449748664284,0.7919011412854479,0.7889846985552149,0.7979355695362146,0.8082893364104834,0.7970503619866586
DeepDrug,"['dropout_rate=0.1, default']",1440_pairs,Stratified,0.8243961619929816,0.010288069522962573,0.8141459327874554,0.8240333849704404,0.8404650501090704,0.8183269577313395,0.8332411242135879,0.832948689576681,0.8370032562992002,0.8207138566596062,0.8101545951756188,0.812928772406816
DeepDrug,['dropout_rate=0.05'],1440_pairs,Stratified,0.8213382441275965,0.009571916841525169,0.8123439031330025,0.8263333438715185,0.8114191773892699,0.8391688533400778,0.812628434131074,0.8312573108659227,0.8295975467105056,0.8230533337548608,0.8179554867060795,0.8096250513736524
DeepDrug,['dropout_rate=0.3'],1440_pairs,Stratified,0.8207810375897063,0.009696836112798795,0.8063924630900067,0.8239543485820873,0.8266652967026018,0.8366396889127754,0.8206585311877589,0.8074199361385982,0.8174812683759604,0.8112136827795517,0.8247605197432898,0.832624640384433
EPGCNDS,"['hidden_channels=32, default']",1440_pairs,Stratified,0.7189758464797193,0.010859725762789273,0.7254117795833203,0.7296244190825456,0.7148209035439917,0.7388005437703519,0.7147734817109798,0.729237140779615,0.712212702728336,0.7081581360058171,0.7155401346780058,0.7011792229142297
EPGCNDS,['hidden_channels=16'],1440_pairs,Stratified,0.6713572128608012,0.022699679982228264,0.6794442161171003,0.6397126236919478,0.6813331857987418,0.6292086876798079,0.6856801871581676,0.6983734311276912,0.6458537510669912,0.6835936265056431,0.6919793873099174,0.6783930321520029
EPGCNDS,['hidden_channels=64'],1440_pairs,Stratified,0.732476051974329,0.009364031564309762,0.7435664379880497,0.7199266542316083,0.7373146596693118,0.7386345673548101,0.7236729790395499,0.7409345262558883,0.7160064493692896,0.7329597546710505,0.742633808605482,0.7291106825582498
GCNBMP,"['hidden_conv_layers=1, default']",1440_pairs,Stratified,0.7129011096708925,0.012980650403919866,0.7174765261926591,0.6887467990262717,0.7021513704909741,0.7340030349973128,0.7317663052069173,0.7195393759286776,0.7074151939552968,0.7151054345420631,0.7068540355979894,0.7059530207707628
GCNBMP,['hidden_conv_layers=3'],1440_pairs,Stratified,0.6772655780721445,0.018742753196470178,0.6493708703487086,0.695575542979988,0.6900746103506055,0.6767885934684329,0.6712639499225443,0.7139435996332713,0.6698017767380103,0.6490665802535487,0.6778634883500365,0.6789067686762986
GCNBMP,['hidden_conv_layers=5'],1440_pairs,Stratified,0.6810842211754291,0.02762114828931901,0.6860595618222629,0.7150580127090512,0.720068919730644,0.6962315450033195,0.6999146407005785,0.6820208023774145,0.649971546900193,0.6261420758117038,0.6675966615029559,0.6677784451961682
MRGNN,"['hidden_channels=32, default']",1440_pairs,Stratified,0.8037526477190099,0.016753712950347627,0.7663407732920237,0.8204214220226993,0.7820927254908161,0.8118973475388069,0.8121976858145491,0.8142723910088204,0.8026619455597357,0.8097277986785116,0.7962916126584679,0.821622775125668
MRGNN,['hidden_channels=16'],1440_pairs,Stratified,0.7714449432518732,0.018368328398373313,0.7758844171856721,0.7662261705289114,0.7699013625873352,0.7588915936897348,0.7757263444089659,0.8046852771015776,0.7648351300938954,0.73171097973507,0.7916758875786412,0.7749122696089279
