Model,Parameter,Dataset,Mode,AUC_avg,AUC_std,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
DeepDDI,"['hidden_layers_num=9, default']",all_in_one,Standard,0.7052182106831977,0.02025187690981708,0.6969242067520576,0.7139771475473573,0.6985333822925891,0.7110395921981987,0.709492515713761,0.6931901635095146,0.7470975441173293,0.6954635289543599,0.6651429898265546,0.721321035920254
DeepDDI,['hidden_layers_num=5'],all_in_one,Standard,0.8090470224852583,0.03477040300669741,0.8038047821673111,0.8047038685011988,0.8038695811823661,0.8764390781260125,0.8017474134393158,0.7974193792254357,0.7921301596215736,0.8701049744043892,0.7811359267339136,0.7591150614510659
DeepDDI,['hidden_layers_num=12'],all_in_one,Standard,0.6322893492018922,0.03135057992500185,0.6106119186988358,0.64612177894896,0.6009460656198026,0.6760778236170811,0.5910831155366438,0.6416371471153639,0.6304782167311057,0.5890824459468216,0.6686799360649719,0.6681750437393352
DeepSynergy,"['dropout_rate=0.5, default']",all_in_one,Standard,0.8274191632287188,0.012873551654644922,0.8273970235652419,0.8341577208026438,0.8415934077802016,0.825866146834568,0.8336474285590859,0.8159383977363543,0.8061213469555263,0.8420551007624684,0.8401786292848349,0.8072364300062639
DeepSynergy,['dropout_rate=0.25'],all_in_one,Standard,0.8289964792535154,0.015015982787664544,0.826857031773117,0.7931939434520594,0.8358532950299156,0.8369656781216924,0.8408698187787544,0.8084622113743871,0.8354996004060739,0.8323703479707109,0.8390068470959242,0.8408860185325183
DeepSynergy,['dropout_rate=0.75'],all_in_one,Standard,0.8436048772058665,0.014157388395592193,0.8312012657407608,0.8605849191092296,0.829254595330151,0.8588920448409184,0.8478789122405339,0.8425221936626562,0.8559031902715079,0.8136002332764541,0.8457567444974836,0.8504546730889689
MatchMaker,"['dropout_rate=0.5, default']",all_in_one,Standard,0.8074394669201028,0.011973276363599617,0.818244162688727,0.7759277058988703,0.8033592889388081,0.8111783700887747,0.8090589023046849,0.8031891915242888,0.8159005983109057,0.8125364494459685,0.8046336695682226,0.8203663304317774
MatchMaker,['dropout_rate=0.25'],all_in_one,Standard,0.8344636261528823,0.011813904592939024,0.8346464133745166,0.8147450158757585,0.8170318811154071,0.8468718275482212,0.8443662656327624,0.8382130591615007,0.843386180530056,0.8446929606669978,0.8407969198868176,0.8198857377367863
MatchMaker,['dropout_rate=0.75'],all_in_one,Standard,0.7894156208825625,0.0062808428901914475,0.7865898438343737,0.7991473529602351,0.781665118690196,0.7839735836015292,0.7962097976110762,0.792213858349353,0.7956995053675184,0.7933748407024213,0.7834065922197981,0.7818757154891246
DeepDDS,"['dropout=0.5, default']",all_in_one,Standard,0.866736775601011,0.007297671945854651,0.8648319545542907,0.8626368879193036,0.8717438494934877,0.8551472017625332,0.8669190228308531,0.8702588720651445,0.8630634814350823,0.8720867442814869,0.8586733481651079,0.8820063935028186
