Model,Parameter,Dataset,Mode,AUC_avg,AUC_std,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10
DeepDDI,"['hidden_layers_num=9, default']",all_in_one,Stratified,0.6946449013974987,0.016080575947863406,0.705890770460289,0.6888729291314771,0.6805111562304254,0.6689391321251916,0.6837943063265438,0.7036201049744044,0.7314485819815538,0.6973535002267965,0.6931253644944596,0.692893168023846
DeepDDI,['hidden_layers_num=5'],all_in_one,Stratified,0.8157256409702572,0.029239647635227402,0.8298971855627794,0.8471769229107717,0.8187382551785212,0.7450509752251765,0.791231073287686,0.8413423115968638,0.7992742510313844,0.8389420480808693,0.8325377454262696,0.8130656414022507
DeepDDI,['hidden_layers_num=12'],all_in_one,Stratified,0.6219117869408384,0.042623734996055755,0.60383502170767,0.6356054387973302,0.5601253860941313,0.654410652958075,0.5755799511847419,0.5861961898179148,0.6548399464328143,0.5869791779164957,0.6729080717973087,0.6886380327019029
DeepSynergy,"['dropout_rate=0.5, default']",all_in_one,Stratified,0.8418102144847399,0.005692374010244633,0.8443905652634079,0.8439963712551568,0.8414584098321705,0.840321727109748,0.8279964144545003,0.8515508564269824,0.8461536384646954,0.8418283042097761,0.8396926366719226,0.8407132211590383
DeepSynergy,['dropout_rate=0.25'],all_in_one,Stratified,0.8295613106680779,0.011491986027423852,0.8274105233600448,0.8064237423591161,0.822866492429315,0.8410804155776832,0.8496230857290968,0.8224614985852214,0.825177657299609,0.8373733719247468,0.8260416441670086,0.8371546752489362
DeepSynergy,['dropout_rate=0.75'],all_in_one,Stratified,0.8366708426031924,0.013516045460128204,0.8364634857550166,0.8397790353586625,0.8027841976801953,0.8449440568503359,0.8474685184785191,0.8536163250318595,0.8283096096939326,0.8288280018143724,0.8434401797092684,0.841075015659762
MatchMaker,"['dropout_rate=0.5, default']",all_in_one,Stratified,0.8162821025120419,0.010994527150737461,0.7955591075015659,0.8192809469296065,0.8115995636866318,0.8159221979825907,0.835175605330799,0.8089671037000239,0.8202070328531007,0.8044878717843489,0.8248806618139404,0.8267409335378101
MatchMaker,['dropout_rate=0.25'],all_in_one,Stratified,0.8355484696632611,0.009488230448886735,0.8471229237315593,0.834665313087241,0.8279316154394453,0.846321035920254,0.8413504114737456,0.8182792621552154,0.8239329762187614,0.837608268354321,0.8322569496943647,0.8460159405577035
MatchMaker,['dropout_rate=0.75'],all_in_one,Stratified,0.7849085793895932,0.009595831765095326,0.7903670864202865,0.7891629047238482,0.782553405188241,0.7770535887854504,0.8023252046568892,0.7792027561181071,0.7915415685681577,0.7919087629868025,0.778319869537983,0.766650646910167
DeepDDS,"['dropout=0.5, default']",all_in_one,Stratified,0.8711652482882262,0.005557225520527165,0.8708825625850486,0.8704883685767976,0.8844417564853015,0.867140419465624,0.8674914141305051,0.8721164438300538,0.8614921053199992,0.8736311208069637,0.8715197528997559,0.8724485387822105
DeepDDS,['dropout=0.25'],all_in_one,Stratified,0.8740104650409313,0.00595017434158441,0.8741117135019547,0.8715899518327321,0.8770330690973497,0.868009806250945,0.8798545262112016,0.8734043242542713,0.8854137417111261,0.8757478886320929,0.8624748903816662,0.8724647385359743
DeepDDS,['dropout=0.75'],all_in_one,Stratified,0.8372756334103721,0.007186456253105721,0.8301239821154718,0.8386990517744132,0.8392390435665377,0.8228934920189213,0.8382508585869495,0.8507246689850314,0.8344385165345488,0.8386612523489643,0.8447307600924466,0.8349947080804372
DeepDrug,"['dropout_rate=0.1, default']",all_in_one,Stratified,0.8459592414195303,0.009179673452352686,0.8522150463312957,0.8614867054020778,0.85119446184418,0.8419174028554764,0.8345357150571311,0.8308205715273128,0.8412424131153206,0.844741559928289,0.8440125710089206,0.8574259671252997
DeepDrug,['dropout_rate=0.05'],all_in_one,Stratified,0.8557228330129381,0.007417882480754169,0.8543210143205822,0.8543966131714797,0.842775989804955,0.8537324232671663,0.8682852020649285,0.8634414756895695,0.8491856923774758,0.8585545499708405,0.8635548739659157,0.8489804954964685
DeepDrug,['dropout_rate=0.3'],all_in_one,Stratified,0.8471372335140505,0.01089131077188253,0.8316899583126336,0.8545127114067866,0.8540618182603624,0.846312936043372,0.8322839492839706,0.8460375402293885,0.8442069680540856,0.8546396094779359,0.8691221893427219,0.8385046547292481
EPGCNDS,"['hidden_channels=32, default']",all_in_one,Stratified,0.7994016890943257,0.0024241376101967796,0.7985830615374647,0.7976002764757975,0.7962664967492493,0.7972546817288377,0.8022820053135192,0.8018122124543706,0.7958831025768408,0.8004838326457437,0.8018500118798194,0.8020012095816145
EPGCNDS,['hidden_channels=16'],all_in_one,Stratified,0.7852714538739011,0.00923080392695474,0.7853910620558566,0.7835712897163962,0.7653573665680282,0.7814815214808735,0.7991824524267233,0.7887012117415815,0.7851777652979675,0.7816327191826683,0.799814242823509,0.7824049074454068
EPGCNDS,['hidden_channels=64'],all_in_one,Stratified,0.8091274812622847,0.003773807927130279,0.8078979199516167,0.8126876471477634,0.8052627600060478,0.808972503617945,0.8096960926193922,0.8113430675853727,0.8023036049852043,0.8167915847679117,0.8088159059982288,0.8075037259433656
GCNBMP,"['hidden_conv_layers=1, default']",all_in_one,Stratified,0.7898405944229647,0.009640945768353436,0.801904011059032,0.7862766485949414,0.7756442102080049,0.7933667408255395,0.7817893168023846,0.811218869473184,0.7878966239713157,0.7876590275827806,0.7852830636974318,0.7873674320150332
GCNBMP,['hidden_conv_layers=3'],all_in_one,Stratified,0.7553550986025013,0.013067196665032536,0.7791649566926582,0.7537637427911095,0.7610536319847939,0.75562671447394,0.759093461779381,0.7621390154869646,0.733643648616541,0.7318454759487656,0.7582564745015875,0.7589638637492709
GCNBMP,['hidden_conv_layers=5'],all_in_one,Stratified,0.7545594206968055,0.02150819303461001,0.7273905436637365,0.7620904162256734,0.7538798410264165,0.7750880186621165,0.7904291854763809,0.7362086096291336,0.7453614705056483,0.7796563492234918,0.7218394280406937,0.7536503445147634
MRGNN,"['hidden_channels=32, default']",all_in_one,Stratified,0.8424023154848047,0.010564562888550882,0.8503250750588591,0.8446551612415492,0.8152418083245135,0.8500199796963086,0.8440422705574875,0.8534732272069464,0.8492180918850033,0.8345249152212887,0.8441043696135818,0.8384182560425082
MRGNN,['hidden_channels=16'],all_in_one,Stratified,0.8208150636110331,0.00765753617529161,0.8140916258072877,0.8228070933321814,0.8326835432101432,0.8296325895846383,0.8157494006091108,0.8282880100222477,0.8206363263278397,0.8187733546450093,0.8055813551634016,0.8199073374084714
MRGNN,['hidden_channels=64'],all_in_one,Stratified,0.8566848283906084,0.0041118136318964126,0.8574556666738664,0.8598802298205067,0.8603662224334192,0.8605471196837808,0.848675400133918,0.8537648227746939,0.862612588288658,0.8535893254422533,0.8567914767695533,0.8531654318854353
SSIDDI,"['head_number=(2,2), default']",all_in_one,Stratified,0.8565711601183661,0.009343488777091796,0.8715305527355983,0.8469069270147094,0.8481597079724389,0.8496500853187032,0.8465451325139857,0.8649804522971248,0.8617243017906128,0.8706395662785925,0.855319999136013,0.8502548761258829
SSIDDI,"['head_number=(1,1)']",all_in_one,Stratified,0.8519968896472774,0.00692841421931687,0.8628690843899172,0.8537270233492451,0.842516793744735,0.841685206384863,0.8599423288766013,0.8559895889582478,0.8525174417348856,0.8529872345940341,0.8544668121044561,0.8432673823357886
